lead_id,data_criacao,segmento,categoria_produto,canal_origem,vendedor,cidade,estagio_funil,valor_proposta,data_fechamento_ou_perda,motivo_perda
1,2024-04-12,Consumidor Final (B2C),Alimentos e Bebidas,Indicação,Carlos Souza,Campo Grande,Perdido,345.11,2024-04-14,Sem retorno
2,2024-12-09,Conta Corporativa (B2B),Ferramentas,Loja Física,João Pedro,Campo Grande,Perdido,10723.13,2024-12-21,Prazo de entrega incompatível
3,2025-07-14,Consumidor Final (B2C),Utilidades Domésticas,Loja Física,João Pedro,Campo Grande,Lead,263.35,,
4,2025-07-20,Conta Corporativa (B2B),Móveis,Loja Física,Fernanda Lima,Ponta Porã,Perdido,9814.99,2025-07-24,Concorrente
5,2025-08-23,Conta Corporativa (B2B),Casa e Decoração,E-commerce,Carlos Souza,Campo Grande,Qualificado,6252.59,,
6,2025-05-23,Conta Corporativa (B2B),Moda e Vestuário,Google Ads,João Pedro,Campo Grande,Proposta Enviada,8144.14,,
7,2025-01-24,Consumidor Final (B2C),Beleza e Higiene,Loja Física,Carlos Souza,Ponta Porã,Venda Fechada,339.68,2025-02-09,
8,2024-09-27,Consumidor Final (B2C),Brinquedos,Marketplace,Rafael Torres,Campo Grande,Perdido,399.36,2024-10-12,Concorrente
9,2024-02-22,Consumidor Final (B2C),Móveis,E-commerce,João Pedro,Campo Grande,Perdido,151.19,2024-03-12,Sem retorno
10,2025-08-15,Consumidor Final (B2C),Moda e Vestuário,Instagram/Redes Sociais,Mariana Alves,Corumbá,Proposta Enviada,196.99,,
11,2024-01-28,Conta Corporativa (B2B),Alimentos e Bebidas,Marketplace,Ana Ribeiro,Campo Grande,Perdido,11095.38,2024-01-31,Prazo de entrega incompatível
12,2025-09-04,Conta Corporativa (B2B),Moda e Vestuário,Instagram/Redes Sociais,Carlos Souza,Campo Grande,Perdido,6523.94,2025-09-13,Sem retorno
13,2024-07-25,Consumidor Final (B2C),Utilidades Domésticas,Marketplace,Fernanda Lima,Campo Grande,Proposta Enviada,328.26,,
14,2025-04-29,Consumidor Final (B2C),Beleza e Higiene,Vendedor Externo (B2B),Fernanda Lima,Ponta Porã,Venda Fechada,141.12,2025-05-09,
15,2025-07-10,Consumidor Final (B2C),Papelaria e Escritório,Google Ads,João Pedro,Campo Grande,Perdido,289.03,2025-07-17,Desistência da compra
16,2024-07-08,Consumidor Final (B2C),Móveis,Indicação,Ana Ribeiro,Três Lagoas,Venda Fechada,387.57,2024-07-15,
