venda_id,lead_id,data_venda,categoria_produto,segmento,cidade,valor_venda,forma_pagamento
1,7,2025-02-09,Beleza e Higiene,Consumidor Final (B2C),Ponta Porã,339.68,PIX
2,14,2025-05-09,Beleza e Higiene,Consumidor Final (B2C),Ponta Porã,141.12,Contrato Recorrente (B2B)
3,16,2024-07-15,Móveis,Consumidor Final (B2C),Três Lagoas,387.57,Cartão à vista
4,18,2025-06-07,Brinquedos,Consumidor Final (B2C),Campo Grande,356.36,Contrato Recorrente (B2B)
5,20,2025-12-15,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,453.23,Cartão à vista
6,29,2025-05-01,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,159.51,Cartão parcelado
7,37,2024-03-06,Alimentos e Bebidas,Consumidor Final (B2C),Corumbá,310.35,Cartão parcelado
8,42,2025-07-24,Papelaria e Escritório,Consumidor Final (B2C),Corumbá,236.07,Cartão parcelado
9,43,2024-08-12,Moda e Vestuário,Consumidor Final (B2C),Dourados,371.1,Cartão à vista
10,50,2025-12-31,Moda e Vestuário,Consumidor Final (B2C),Corumbá,117.13,PIX
11,54,2025-10-02,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,338.34,PIX
12,56,2024-02-17,Casa e Decoração,Consumidor Final (B2C),Ponta Porã,305.61,Contrato Recorrente (B2B)
13,61,2024-02-24,Ferramentas,Consumidor Final (B2C),Campo Grande,239.14,Cartão parcelado
14,63,2024-10-02,Brinquedos,Consumidor Final (B2C),Três Lagoas,346.59,Cartão parcelado
15,66,2025-04-03,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,262.65,Boleto (B2B)
16,67,2024-12-25,Brinquedos,Consumidor Final (B2C),Dourados,404.34,Boleto (B2B)
17,68,2025-02-11,Móveis,Consumidor Final (B2C),Dourados,268.76,PIX
18,70,2024-09-10,Alimentos e Bebidas,Consumidor Final (B2C),Dourados,279.16,PIX
19,71,2024-05-28,Utilidades Domésticas,Conta Corporativa (B2B),Dourados,3951.63,Cartão parcelado
20,73,2025-01-15,Móveis,Consumidor Final (B2C),Dourados,197.09,Cartão parcelado
21,76,2024-03-03,Utilidades Domésticas,Consumidor Final (B2C),Dourados,428.42,Boleto (B2B)
22,79,2024-02-11,Brinquedos,Consumidor Final (B2C),Campo Grande,471.84,PIX
23,83,2024-09-16,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,341.36,Cartão à vista
24,88,2025-09-08,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,227.86,Cartão à vista
25,89,2024-06-13,Moda e Vestuário,Consumidor Final (B2C),Campo Grande,367.87,Cartão parcelado
26,93,2024-07-23,Brinquedos,Conta Corporativa (B2B),Campo Grande,9892.12,PIX
27,100,2024-02-12,Móveis,Consumidor Final (B2C),Campo Grande,441.09,Cartão à vista
28,103,2025-02-09,Casa e Decoração,Consumidor Final (B2C),Campo Grande,362.45,PIX
29,110,2024-02-26,Papelaria e Escritório,Consumidor Final (B2C),Dourados,350.69,Cartão parcelado
30,114,2024-03-17,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,259.7,Cartão parcelado
31,117,2025-01-17,Casa e Decoração,Consumidor Final (B2C),Dourados,239.11,Cartão à vista
32,119,2025-08-25,Ferramentas,Consumidor Final (B2C),Campo Grande,394.2,Contrato Recorrente (B2B)
33,123,2024-04-29,Ferramentas,Consumidor Final (B2C),Campo Grande,339.58,Cartão à vista
34,125,2025-12-24,Casa e Decoração,Conta Corporativa (B2B),Corumbá,10300.67,Cartão à vista
35,126,2024-12-20,Móveis,Consumidor Final (B2C),Campo Grande,332.05,Cartão parcelado
36,128,2024-07-14,Brinquedos,Consumidor Final (B2C),Dourados,411.2,Cartão à vista
37,129,2025-12-25,Utilidades Domésticas,Consumidor Final (B2C),Campo Grande,384.21,Cartão à vista
38,133,2024-06-01,Papelaria e Escritório,Conta Corporativa (B2B),Dourados,9035.69,Cartão parcelado
39,135,2025-01-15,Casa e Decoração,Consumidor Final (B2C),Campo Grande,275.36,Cartão parcelado
40,138,2024-11-26,Móveis,Consumidor Final (B2C),Três Lagoas,421.31,Cartão parcelado
41,139,2025-07-18,Casa e Decoração,Consumidor Final (B2C),Campo Grande,244.32,Cartão à vista
42,141,2024-12-30,Moda e Vestuário,Conta Corporativa (B2B),Dourados,8846.2,PIX
43,142,2024-07-13,Móveis,Consumidor Final (B2C),Ponta Porã,475.82,Cartão parcelado
44,143,2025-03-15,Papelaria e Escritório,Consumidor Final (B2C),Dourados,340.67,Boleto (B2B)
45,144,2025-01-07,Brinquedos,Consumidor Final (B2C),Dourados,306.28,Cartão parcelado
46,147,2025-03-03,Eletrônicos,Consumidor Final (B2C),Três Lagoas,267.21,Boleto (B2B)
47,152,2025-06-22,Alimentos e Bebidas,Consumidor Final (B2C),Três Lagoas,301.41,Cartão parcelado
48,156,2025-05-28,Móveis,Consumidor Final (B2C),Três Lagoas,285.34,Cartão parcelado
49,157,2024-04-25,Móveis,Consumidor Final (B2C),Dourados,300.11,Cartão parcelado
50,160,2024-03-28,Móveis,Consumidor Final (B2C),Dourados,403.22,Cartão parcelado
51,162,2024-02-09,Ferramentas,Consumidor Final (B2C),Campo Grande,516.43,PIX
52,167,2024-12-08,Ferramentas,Conta Corporativa (B2B),Dourados,9672.29,PIX
53,177,2025-02-01,Papelaria e Escritório,Consumidor Final (B2C),Campo Grande,369.25,Boleto (B2B)
54,178,2024-05-06,Utilidades Domésticas,Conta Corporativa (B2B),Dourados,6482.25,Cartão parcelado
55,179,2025-08-19,Móveis,Consumidor Final (B2C),Dourados,365.53,Cartão à vista
56,180,2025-09-18,Casa e Decoração,Consumidor Final (B2C),Campo Grande,409.13,Contrato Recorrente (B2B)
57,184,2024-10-26,Utilidades Domésticas,Consumidor Final (B2C),Dourados,522.15,PIX
58,185,2024-01-07,Alimentos e Bebidas,Consumidor Final (B2C),Três Lagoas,173.24,Cartão parcelado
59,187,2024-05-25,Móveis,Conta Corporativa (B2B),Campo Grande,6841.28,Contrato Recorrente (B2B)
60,188,2025-01-24,Moda e Vestuário,Consumidor Final (B2C),Dourados,294.74,Contrato Recorrente (B2B)
61,192,2025-08-10,Eletrônicos,Consumidor Final (B2C),Campo Grande,203.33,Cartão à vista
62,197,2024-05-08,Brinquedos,Consumidor Final (B2C),Campo Grande,267.65,Cartão à vista
63,198,2024-04-06,Beleza e Higiene,Consumidor Final (B2C),Campo Grande,228.67,Cartão à vista
